,unite_de_temps,type_de_transaction,montant,Solde_avant_transaction,Solde_après_transaction,Solde_initial_destinataire,nouveau_solde_destinataire,transaction_frauduleuse
1008412,46,CASH_OUT,70460.45,178341.81,107881.36,1889941.37,1960401.82,0
1568475,155,CASH_OUT,400748.86,20032.0,0.0,0.0,400748.86,0
5633610,395,CASH_OUT,360127.98,0.0,0.0,391024.08,751152.06,0
2546891,206,PAYMENT,10455.64,133576.0,123120.36,0.0,0.0,0
5764966,400,TRANSFER,803655.23,8517.0,0.0,13037781.07,13841436.3,0
380116,17,PAYMENT,14194.09,0.0,0.0,0.0,0.0,0
4668555,331,CASH_OUT,104086.73,1346.0,0.0,9637191.11,9741277.83,0
5092931,355,TRANSFER,66330.62,0.0,0.0,389707.24,456037.86,0
924799,43,CASH_OUT,294518.96,0.0,0.0,1699074.81,1993593.77,0
3395386,255,CASH_OUT,83506.71,50916.0,0.0,2100259.29,2183766.0,0
3521938,259,CASH_IN,109059.81,18036.0,127095.81,1766606.09,1657546.29,0
2566216,206,PAYMENT,63.65,235.0,171.35,0.0,0.0,0
1048712,95,PAYMENT,8331.45,1049.0,0.0,0.0,0.0,0
5800901,401,CASH_OUT,110279.72,0.0,0.0,164201.05,274480.77,0
6118175,532,PAYMENT,2899.14,10034.0,7134.86,0.0,0.0,0
4054400,300,CASH_OUT,34934.09,32542.0,0.0,462139.14,497073.23,0
2590637,207,PAYMENT,10458.51,285304.47,274845.97,0.0,0.0,0
5263394,372,PAYMENT,6388.79,0.0,0.0,0.0,0.0,0
5482122,379,CASH_OUT,29212.24,50396.0,21183.76,660471.9,689684.15,0
1381460,138,PAYMENT,24720.84,164875.0,140154.16,0.0,0.0,0
932183,43,CASH_OUT,367342.18,1343.0,0.0,135590.64,502932.82,0
4718454,332,CASH_IN,112399.61,1880692.03,1993091.65,994031.41,881631.8,0
2002563,179,PAYMENT,22670.65,50994.0,28323.35,0.0,0.0,0
1759930,161,TRANSFER,592905.76,0.0,0.0,2017395.9,2610301.66,0
2723157,211,CASH_IN,165778.6,9454322.02,9620100.63,511779.03,346000.43,0
5526193,381,CASH_IN,209110.15,2251.0,211361.15,0.0,0.0,0
2501440,204,PAYMENT,19632.2,0.0,0.0,0.0,0.0,0
2814666,225,CASH_IN,81109.93,509368.51,590478.44,4011354.8,3930244.88,0
3569995,260,PAYMENT,254.28,532.0,277.72,0.0,0.0,0
5963181,406,TRANSFER,469322.66,105508.0,0.0,0.0,469322.66,0
989765,45,CASH_IN,162407.09,8198860.7,8361267.78,2106232.45,1943825.36,0
1731415,161,PAYMENT,19132.76,66594.43,47461.67,0.0,0.0,0
2886628,228,TRANSFER,1812623.74,997.99,0.0,1949568.7,3762192.44,0
5157425,357,PAYMENT,11184.87,53002.0,41817.13,0.0,0.0,0
4998878,353,CASH_OUT,77244.45,0.0,0.0,1008644.03,1085888.48,0
1928317,168,PAYMENT,12269.91,0.0,0.0,0.0,0.0,0
4786292,345,CASH_IN,151906.34,3290572.04,3442478.39,779371.99,627465.64,0
5692934,397,CASH_IN,95794.45,2901841.65,2997636.1,8051611.13,7955816.68,0
998136,45,CASH_OUT,106871.33,0.0,0.0,1948267.6,2055138.94,0
3415992,256,PAYMENT,2816.27,24657.0,21840.73,0.0,0.0,0
5734795,399,CASH_OUT,280925.72,0.0,0.0,2557314.3,2838240.02,0
6261346,610,PAYMENT,2897.62,0.0,0.0,0.0,0.0,0
6066867,514,TRANSFER,309216.4,0.0,0.0,1673358.1,1982574.5,0
2312552,188,PAYMENT,9005.47,60598.0,51592.53,0.0,0.0,0
4743038,332,PAYMENT,19396.2,107135.69,87739.49,0.0,0.0,0
67093,9,CASH_IN,237267.47,1205.17,238472.64,625620.1,621975.01,0
5205275,370,PAYMENT,13710.71,0.0,0.0,0.0,0.0,0
5404743,377,CASH_IN,486278.92,5016301.5,5502580.42,5933317.46,5447038.54,0
2086205,182,CASH_OUT,246995.55,0.0,0.0,301765.3,548760.84,0
278365,15,CASH_OUT,275084.63,0.0,0.0,317296.27,592380.91,0
2959485,230,TRANSFER,52947.69,0.0,0.0,3906473.03,3959420.72,0
1869223,164,PAYMENT,723.81,39273.75,38549.94,0.0,0.0,0
4124481,302,PAYMENT,40363.8,2891.73,0.0,0.0,0.0,0
462595,19,CASH_OUT,133856.31,596.0,0.0,21798.58,155654.89,0
3004287,232,CASH_OUT,287846.64,0.0,0.0,375567.66,663414.3,0
3829626,282,CASH_OUT,51206.59,0.0,0.0,976313.96,1027520.55,0
239863,14,TRANSFER,38967.09,142364.0,103396.91,645419.67,171055.18,0
4231561,306,PAYMENT,33430.36,31890.0,0.0,0.0,0.0,0
2836103,226,CASH_OUT,149916.01,0.0,0.0,896342.26,1046258.27,0
609917,34,PAYMENT,5311.15,0.0,0.0,0.0,0.0,0
1726648,160,PAYMENT,7866.62,0.0,0.0,0.0,0.0,0
5194778,369,CASH_OUT,403509.26,202.0,0.0,82330.62,485839.88,0
5980268,408,CASH_IN,59599.42,14122354.22,14181953.64,4153351.36,4093751.94,0
5753838,399,CASH_OUT,100294.22,81477.0,0.0,88824.61,189118.83,0
953167,44,PAYMENT,8848.9,176161.62,167312.72,0.0,0.0,0
6257600,599,PAYMENT,1106.51,1271.0,164.49,0.0,0.0,0
5015152,353,CASH_OUT,190959.08,681830.0,490870.92,0.0,190959.08,0
1294097,136,CASH_OUT,175806.95,0.0,0.0,1264511.28,1440318.23,0
5302932,373,PAYMENT,4678.6,4705.0,26.4,0.0,0.0,0
3261551,251,CASH_IN,46629.79,6515924.49,6562554.28,330351.73,283721.94,0
4227,3,CASH_OUT,119579.08,0.0,0.0,2485918.01,2182677.05,0
2279476,187,PAYMENT,472.23,0.0,0.0,0.0,0.0,0
3607609,264,PAYMENT,684.4,23503.0,22818.6,0.0,0.0,0
5971369,407,CASH_OUT,128814.95,0.0,0.0,278811.7,407626.65,0
2530812,205,CASH_OUT,609817.01,596.0,0.0,0.0,609817.01,0
5882157,403,PAYMENT,9350.92,50432.78,41081.87,0.0,0.0,0
1415649,139,CASH_OUT,119117.61,0.0,0.0,833764.87,952882.47,0
2885073,228,CASH_IN,275858.27,1141034.67,1416892.93,572533.09,296674.82,0
2958801,230,PAYMENT,20616.36,0.0,0.0,0.0,0.0,0
3231550,250,PAYMENT,10737.86,295890.84,285152.98,0.0,0.0,0
2752080,212,CASH_OUT,158862.99,154111.0,0.0,26706.98,185569.97,0
1029207,48,PAYMENT,8925.52,5909.0,0.0,0.0,0.0,0
1163878,132,PAYMENT,1451.74,0.0,0.0,0.0,0.0,0
2919996,229,CASH_IN,164472.62,3843514.05,4007986.67,679618.86,515146.24,0
6285710,659,CASH_OUT,140469.03,0.0,0.0,753970.09,894439.12,0
3767658,280,CASH_OUT,196251.04,47840.0,0.0,4943293.27,5139544.32,0
234205,14,CASH_OUT,348467.57,0.0,0.0,6112413.62,6817265.36,0
3950254,287,CASH_IN,100382.19,9995511.44,10095893.64,242337.48,141955.28,0
4908623,349,PAYMENT,21872.11,0.0,0.0,0.0,0.0,0
3980359,297,CASH_OUT,140899.86,1161.0,0.0,383609.09,524508.95,0
1090281,129,CASH_OUT,790507.49,123969.6,0.0,0.0,790507.49,0
1420523,139,CASH_OUT,10542.94,0.0,0.0,506973.55,517516.49,0
2640593,209,CASH_IN,77771.34,1982.0,79753.34,0.0,0.0,0
2704362,211,CASH_IN,191562.21,10539230.66,10730792.87,303833.61,112271.4,0
1642205,157,TRANSFER,242850.3,11907.0,0.0,738714.53,1055274.84,0
4717045,332,PAYMENT,6573.46,2851.0,0.0,0.0,0.0,0
3379558,254,TRANSFER,1107899.54,21202.0,0.0,0.0,1107899.54,0
3783108,280,PAYMENT,11006.37,778.0,0.0,0.0,0.0,0
5048251,354,CASH_OUT,143166.24,0.0,0.0,4655660.95,4798827.2,0
3269938,251,CASH_OUT,152660.6,30382.0,0.0,21022.0,173682.6,0
1896637,165,CASH_IN,260010.73,21682406.72,21942417.45,2506354.8,2246344.07,0
2889950,228,PAYMENT,73892.13,50702.0,0.0,0.0,0.0,0
4518916,325,PAYMENT,2236.04,0.0,0.0,0.0,0.0,0
1838562,163,PAYMENT,2880.16,290463.0,287582.84,0.0,0.0,0
4416664,322,PAYMENT,17810.96,0.0,0.0,0.0,0.0,0
5646421,396,PAYMENT,8206.05,299904.43,291698.37,0.0,0.0,0
1493674,142,PAYMENT,24963.04,53056.0,28092.96,0.0,0.0,0
3945778,286,PAYMENT,8497.19,11007.0,2509.81,0.0,0.0,0
4934497,350,PAYMENT,64987.37,0.0,0.0,0.0,0.0,0
2815721,225,PAYMENT,14242.85,97520.13,83277.28,0.0,0.0,0
4171218,304,CASH_OUT,529350.46,45659.0,0.0,216236.71,745587.17,0
2835897,226,CASH_OUT,114764.16,0.0,0.0,322621.0,437385.16,0
404080,18,PAYMENT,8881.85,203047.66,194165.81,0.0,0.0,0
617331,34,CASH_IN,171988.69,4486113.22,4658101.91,630864.5,458875.8,0
3587191,262,CASH_IN,284861.8,1567648.16,1852509.96,458648.96,173787.16,0
5869382,403,CASH_IN,9176.06,6196361.92,6205537.98,862976.35,853800.29,0
4427670,322,TRANSFER,15177003.64,0.0,0.0,31079897.43,46256901.06,0
621021,34,PAYMENT,23071.73,104758.0,81686.27,0.0,0.0,0
4001717,298,TRANSFER,2695745.91,0.0,0.0,7449736.17,10145482.08,0
1513240,153,CASH_IN,104076.48,4220019.96,4324096.43,636771.2,532694.73,0
1716721,160,PAYMENT,1786.96,456283.67,454496.71,0.0,0.0,0
4727647,332,CASH_IN,235834.91,36577.0,272411.91,158071.93,0.0,0
4269708,307,CASH_OUT,70201.9,21675.34,0.0,512091.42,582293.32,0
6234935,594,CASH_OUT,59631.52,58716.0,0.0,370341.28,429972.8,0
2712731,211,CASH_OUT,118325.46,0.0,0.0,1958293.34,2076618.8,0
3668055,276,CASH_IN,344020.51,131902.0,475922.51,2818322.17,2474301.66,0
1950773,178,CASH_IN,68501.58,228521.17,297022.75,192902.94,124401.36,0
3684919,276,CASH_OUT,131369.88,0.0,0.0,2508303.53,2639673.41,0
4040623,299,PAYMENT,31688.16,0.0,0.0,0.0,0.0,0
2247653,186,CASH_OUT,40813.17,51130.0,10316.83,0.0,40813.17,0
1672810,158,CASH_OUT,375503.08,0.0,0.0,13733215.12,14108718.2,0
2392745,201,CASH_OUT,105267.63,0.0,0.0,10716865.37,10822133.0,0
5750795,399,TRANSFER,545991.05,105233.11,0.0,885225.98,1431217.03,0
5520991,380,PAYMENT,11144.14,400805.0,389660.86,0.0,0.0,0
6065833,514,CASH_OUT,170987.02,15687.0,0.0,531158.3,702145.31,0
1071613,129,PAYMENT,37300.87,86116.28,48815.41,0.0,0.0,0
4675002,331,CASH_OUT,146508.25,0.0,0.0,362120.27,508628.51,0
4556867,327,CASH_IN,45218.86,6113030.99,6158249.85,255398.83,210179.97,0
2349096,189,CASH_OUT,172589.32,11690.0,0.0,83974.42,256563.74,0
4039798,299,CASH_OUT,92093.79,11218.0,0.0,280206.37,372300.16,0
4945187,351,CASH_IN,168012.41,5129014.53,5297026.94,290721.36,122708.95,0
2165881,184,PAYMENT,8700.2,224809.95,216109.75,0.0,0.0,0
2340698,189,PAYMENT,20970.19,0.0,0.0,0.0,0.0,0
5509498,380,PAYMENT,2322.65,147879.92,145557.27,0.0,0.0,0
2775740,214,TRANSFER,65673.42,44613.0,0.0,505880.26,571553.68,0
1357759,138,CASH_OUT,164491.53,15632.0,0.0,210454.67,374946.2,0
2344456,189,PAYMENT,3726.73,110035.23,106308.51,0.0,0.0,0
309486,16,CASH_OUT,237497.79,0.0,0.0,4557022.45,5445729.65,0
6128369,542,CASH_IN,500407.82,1811108.12,2311515.94,1713232.33,1212824.51,0
4930286,350,CASH_OUT,30937.99,11176.0,0.0,0.0,30937.99,0
1607552,156,PAYMENT,635.62,450482.83,449847.21,0.0,0.0,0
1241204,134,CASH_OUT,198968.03,97373.0,0.0,323160.54,522128.57,0
4646202,330,PAYMENT,28167.17,100680.0,72512.83,0.0,0.0,0
2301562,188,PAYMENT,713.48,0.0,0.0,0.0,0.0,0
374534,17,CASH_IN,394100.32,965.0,395065.32,763337.5,862575.72,0
6327853,688,CASH_OUT,451790.9,953757.0,501966.1,482.11,452273.01,0
1101194,130,PAYMENT,1199.91,0.0,0.0,0.0,0.0,0
1344168,137,CASH_IN,315110.53,59593.0,374703.53,121226.98,0.0,0
3383588,255,CASH_IN,6260.22,100687.0,106947.22,0.0,0.0,0
4214419,305,CASH_OUT,312872.85,69970.0,0.0,0.0,312872.85,0
303799,15,CASH_IN,66005.74,800187.33,866193.07,2656121.07,2590115.34,0
4994345,352,CASH_IN,103635.99,9977.0,113612.99,190603.34,86967.35,0
2570620,207,TRANSFER,464496.37,0.0,0.0,613625.75,1078122.11,0
2267040,187,CASH_IN,52846.67,73.0,52919.67,3910654.93,3857808.26,0
2296043,187,CASH_OUT,146159.21,0.0,0.0,276562.05,422721.26,0
3921950,285,CASH_IN,113455.06,99770.0,213225.06,1916472.32,1803017.26,0
78753,10,PAYMENT,13278.48,220239.58,206961.1,0.0,0.0,0
3830932,282,CASH_OUT,175704.56,143421.48,0.0,182743.48,358448.05,0
3094419,235,CASH_IN,145328.79,6291.0,151619.79,2335315.15,2189986.36,0
2887562,228,CASH_IN,182270.37,782327.86,964598.24,475227.44,292957.06,0
4713922,332,CASH_OUT,226957.76,0.0,0.0,1799773.93,2026731.69,0
3427882,256,PAYMENT,15311.29,99421.0,84109.71,0.0,0.0,0
5837804,402,CASH_IN,196164.61,4731035.9,4927200.51,1285211.41,1089046.8,0
3506075,259,CASH_IN,182372.47,0.0,182372.47,1156913.48,974541.0,0
446107,19,CASH_IN,470272.99,4960396.28,5430669.27,721274.78,251001.79,0
461203,19,PAYMENT,1834.09,0.0,0.0,0.0,0.0,0
6336122,691,CASH_IN,148062.18,364562.0,512624.18,0.0,0.0,0
853204,41,CASH_OUT,328973.04,0.0,0.0,1830962.94,2159935.98,0
4850574,347,TRANSFER,1411256.82,9528.0,0.0,46837.88,1458094.71,0
4304142,307,CASH_OUT,149676.46,0.0,0.0,175402.03,325078.49,0
5887080,403,CASH_OUT,41304.25,52671.0,11366.75,316742.26,358046.51,0
1922572,167,PAYMENT,7160.48,55855.0,48694.52,0.0,0.0,0
1940902,177,TRANSFER,164411.61,0.0,0.0,4709456.47,4873868.09,0
3485988,258,PAYMENT,9564.55,1007.0,0.0,0.0,0.0,0
315058,16,CASH_IN,188891.9,8838.0,197729.9,3962484.68,3968926.29,0
107376,10,PAYMENT,34208.82,20619.0,0.0,0.0,0.0,0
649600,35,PAYMENT,28504.03,81816.77,53312.75,0.0,0.0,0
5965668,406,CASH_OUT,110090.0,1115.0,0.0,3840130.68,3950220.68,0
4160180,304,CASH_IN,132970.95,101840.0,234810.95,8107855.45,7974884.5,0
3668613,276,CASH_IN,217524.51,8982990.02,9200514.53,255644.56,38120.04,0
3783197,280,CASH_IN,29783.95,5257163.58,5286947.53,69040.81,39256.86,0
4671663,331,CASH_OUT,221202.59,0.0,0.0,248805.53,470008.12,0
41537,9,CASH_OUT,367341.73,0.0,0.0,1433271.4,1617976.88,0
3797535,281,CASH_OUT,100277.11,0.0,0.0,217598.91,317876.01,0
4530581,326,CASH_OUT,79025.54,0.0,0.0,397306.83,476332.37,0
6045522,492,CASH_IN,97486.35,2448412.37,2545898.72,430856.45,333370.1,0
2344200,189,PAYMENT,8871.29,30973.0,22101.71,0.0,0.0,0
1706381,160,CASH_IN,157344.56,2998396.04,3155740.6,4549528.47,4392183.9,0
3306717,252,CASH_OUT,156635.24,10804.0,0.0,0.0,156635.24,0
2538548,205,CASH_OUT,220597.05,0.0,0.0,228154.83,448751.88,0
453271,19,PAYMENT,2187.9,699750.65,697562.75,0.0,0.0,0
5665727,396,CASH_OUT,170454.82,0.0,0.0,176274.81,346729.63,0
2463163,203,PAYMENT,5845.43,42986.36,37140.93,0.0,0.0,0
5679834,397,PAYMENT,3711.88,51198.0,47486.13,0.0,0.0,0
489353,19,CASH_IN,141017.4,15673.15,156690.55,1306348.7,1261657.26,0
813679,40,CASH_OUT,99757.36,226.33,0.0,380269.8,480027.16,0
3832746,282,TRANSFER,3779895.23,0.0,0.0,3991331.01,7771226.24,0
6177566,565,CASH_OUT,33666.61,0.0,0.0,4239306.15,4272972.76,0
3791275,280,CASH_OUT,201455.49,0.0,0.0,7473041.18,7674496.66,0
4841284,347,PAYMENT,1149.86,95676.14,94526.28,0.0,0.0,0
3780835,280,CASH_OUT,134663.44,0.0,0.0,234012.63,368676.07,0
34221,8,PAYMENT,4048.86,468727.5,464678.64,0.0,0.0,0
5586323,394,CASH_IN,144122.04,2510241.11,2654363.15,310922.25,166800.21,0
6230497,592,CASH_OUT,138339.84,79612.0,0.0,0.0,138339.84,0
502757,20,CASH_OUT,285216.23,0.0,0.0,815192.93,1145236.6,0
897316,42,PAYMENT,4657.66,0.0,0.0,0.0,0.0,0
5447444,379,CASH_IN,137793.9,4999655.0,5137448.89,283763.58,145969.68,0
1693485,159,CASH_OUT,38992.43,0.0,0.0,673690.52,712682.95,0
3121437,236,CASH_OUT,66135.4,10319.0,0.0,0.0,66135.4,0
6204414,585,CASH_OUT,382473.98,20075.0,0.0,64676.51,447150.5,0
2058286,181,PAYMENT,11924.32,34252.0,22327.68,0.0,0.0,0
624988,34,CASH_OUT,352782.96,0.0,0.0,392097.66,744880.62,0
3856875,283,PAYMENT,4539.56,265491.76,260952.2,0.0,0.0,0
4825563,346,DEBIT,3203.12,32684.0,29480.88,220610.7,223813.82,0
4712274,332,CASH_OUT,225175.36,0.0,0.0,1486043.02,1711218.38,0
421022,18,PAYMENT,9401.17,30648.0,21246.83,0.0,0.0,0
2753869,212,CASH_IN,78480.34,7730944.13,7809424.47,296841.9,218361.56,0
3529931,259,PAYMENT,1960.88,73350.96,71390.08,0.0,0.0,0
3146060,236,PAYMENT,9323.7,0.0,0.0,0.0,0.0,0
4396995,321,CASH_OUT,410132.91,1480.0,0.0,11704.66,421837.57,0
6282725,656,CASH_IN,261513.38,3813550.03,4075063.41,1673961.33,1412447.95,0
4587194,328,TRANSFER,104437.79,0.0,0.0,1223425.1,1327862.89,0
216674,13,PAYMENT,12395.12,0.0,0.0,0.0,0.0,0
5022565,353,PAYMENT,23922.23,132.0,0.0,0.0,0.0,0
5047868,354,CASH_OUT,106526.07,2033.0,0.0,2104433.78,2210959.85,0
1965200,178,PAYMENT,27850.42,173684.0,145833.58,0.0,0.0,0
6152095,546,TRANSFER,577979.85,0.0,0.0,19157374.11,19735353.95,0
5558557,384,CASH_IN,70803.31,2298615.49,2369418.79,1339912.44,1269109.14,0
1495797,142,PAYMENT,25693.74,827.65,0.0,0.0,0.0,0
3842654,282,TRANSFER,244404.63,0.0,0.0,252377.76,639830.17,0
4804540,346,TRANSFER,168133.25,0.0,0.0,978054.94,1146188.19,0
4430672,322,CASH_OUT,430550.69,79757.0,0.0,0.0,430550.69,0
723570,37,CASH_OUT,94172.59,0.0,0.0,181753.61,275926.2,0
3119253,236,CASH_OUT,220125.47,0.0,0.0,1386369.48,1606494.95,0
574451,25,PAYMENT,7320.33,32628.0,25307.67,0.0,0.0,0
2388905,201,CASH_OUT,154850.72,1075.0,0.0,0.0,154850.72,0
2138633,184,CASH_IN,163899.53,68.0,163967.53,1404235.65,1240336.12,0
4980873,352,CASH_OUT,245000.02,32538.0,0.0,274387.82,519387.85,0
2921153,229,CASH_IN,365331.18,148423.0,513754.18,163206.85,0.0,0
5770597,400,PAYMENT,12615.72,40800.0,28184.28,0.0,0.0,0
21976,8,CASH_IN,109268.85,3482396.2,3591665.05,1108109.69,3529395.92,0
4637232,330,PAYMENT,10547.94,95560.7,85012.76,0.0,0.0,0
484730,19,PAYMENT,22750.47,88456.95,65706.48,0.0,0.0,0
4898891,349,CASH_OUT,36160.75,0.0,0.0,89002.39,125163.14,0
2590988,207,CASH_IN,302558.23,107861.0,410419.23,0.0,0.0,0
6275574,637,TRANSFER,865120.36,0.0,0.0,2212969.39,3078089.75,0
43794,9,CASH_OUT,383590.27,2169027.49,1785437.22,1031449.77,1680061.63,0
5288214,373,CASH_IN,552598.55,90875.0,643473.55,8701877.49,8149278.94,0
4981320,352,CASH_IN,65614.43,3401146.84,3466761.27,112099.49,46485.06,0
1644467,157,CASH_IN,23824.29,457864.02,481688.3,4096014.75,4072190.47,0
4676197,331,PAYMENT,8545.71,15263.0,6717.29,0.0,0.0,0
4284945,307,PAYMENT,38594.78,585.0,0.0,0.0,0.0,0
2216735,186,CASH_IN,234159.08,727504.44,961663.52,2079450.69,1845291.61,0
4901692,349,TRANSFER,141435.57,0.0,0.0,45356017.79,45497453.36,0
104681,10,PAYMENT,27037.83,0.0,0.0,0.0,0.0,0
5678603,397,CASH_OUT,426672.81,0.0,0.0,1730808.19,2157481.0,0
4004538,298,CASH_IN,10834.63,1150898.67,1161733.3,2222539.14,2211704.51,0
3500040,259,PAYMENT,1462.98,0.0,0.0,0.0,0.0,0
5758206,400,PAYMENT,20402.85,0.0,0.0,0.0,0.0,0
6264574,612,DEBIT,963.46,9128.0,8164.54,477148.24,478111.7,0
3020218,233,CASH_OUT,54650.96,0.0,0.0,123743.06,178394.03,0
2151766,184,PAYMENT,36267.61,20744.0,0.0,0.0,0.0,0
79186,10,CASH_OUT,179772.51,152741.0,0.0,4177499.29,5704443.65,0
550228,21,TRANSFER,2082592.91,0.0,0.0,2450830.08,4533422.99,0
6181909,566,CASH_IN,235461.23,0.0,235461.23,1299188.92,1063727.69,0
4217634,305,CASH_OUT,54905.94,148.0,0.0,0.0,54905.94,0
5338087,374,PAYMENT,4926.48,5000.0,73.52,0.0,0.0,0
1543651,154,CASH_OUT,348791.02,15905.0,0.0,31607.91,380398.93,0
5580587,393,TRANSFER,1658427.57,0.0,0.0,8687080.0,10345507.58,0
2278528,187,CASH_OUT,56452.91,0.0,0.0,1058817.71,1115270.62,0
1769237,162,CASH_IN,33435.29,28487.0,61922.29,946769.11,913333.82,0
4104655,302,PAYMENT,803.46,16210.7,15407.24,0.0,0.0,0
4741863,332,PAYMENT,10000.11,0.0,0.0,0.0,0.0,0
4896855,349,PAYMENT,18857.12,68812.0,49954.88,0.0,0.0,0
356778,17,CASH_IN,41292.76,4291112.27,4332405.03,1419532.14,1220705.1,0
4630436,329,CASH_OUT,263160.79,0.0,0.0,4328524.46,4591685.26,0
73816,10,TRANSFER,845503.13,157986.11,0.0,1193899.89,1995749.77,0
5274133,372,CASH_OUT,264869.34,0.0,0.0,1651450.58,1916319.92,0
1583266,155,PAYMENT,3330.96,45300.44,41969.48,0.0,0.0,0
1377672,138,TRANSFER,167115.14,0.0,0.0,1129080.5,1296195.64,0
2353325,189,PAYMENT,10026.02,6217.0,0.0,0.0,0.0,0
3016468,232,CASH_OUT,331713.13,0.0,0.0,1439027.76,1770740.9,0
4255378,306,CASH_OUT,126305.73,221161.0,94855.27,24372.51,150678.24,0
5993811,420,CASH_IN,236446.13,5328536.61,5564982.74,511742.17,275296.04,0
3130991,236,PAYMENT,36738.61,0.0,0.0,0.0,0.0,0
770501,39,TRANSFER,430382.63,0.0,0.0,4258531.01,4688913.64,0
3172961,238,TRANSFER,245689.73,0.0,0.0,571700.26,817389.99,0
2824456,226,PAYMENT,14134.21,341246.8,327112.58,0.0,0.0,0
3380056,254,CASH_OUT,301315.95,208160.0,0.0,47849.47,349165.42,0
5951883,405,CASH_OUT,10451.9,0.0,0.0,63572.0,74023.9,0
1291560,135,CASH_OUT,220786.9,262.0,0.0,0.0,220786.9,0
1458108,140,PAYMENT,3830.8,0.0,0.0,0.0,0.0,0
