,Unnamed: 0,unite_de_temps,type_de_transaction,montant,Solde_avant_transaction,Solde_après_transaction,Solde_initial_destinataire,nouveau_solde_destinataire,transaction_frauduleuse
29,87432,10,CASH_OUT,61462,0,0,714410,775873,0
30,2210634,186,CASH_OUT,283848,150855,0,0,283848,0
31,2660065,210,CASH_OUT,260771,0,0,994651,1255423,0
32,3606273,264,PAYMENT,4668,0,0,0,0,0
33,1706769,160,PAYMENT,3487,32845,29358,0,0,0
34,5553984,383,CASH_IN,195865,976247,1172113,387643,191777,0
35,3654553,275,CASH_IN,209675,10755173,10964849,721382,511706,0
36,3057773,234,PAYMENT,16053,0,0,0,0,0
37,3468794,258,PAYMENT,9713,0,0,0,0,0
38,6207786,587,PAYMENT,13594,0,0,0,0,0
39,1776801,162,PAYMENT,1335,36248,34912,0,0,0
40,3587748,262,TRANSFER,933743,119008,0,92695,1026439,0
41,3817878,281,PAYMENT,8999,0,0,0,0,0
42,4664662,330,CASH_OUT,77435,0,0,1857787,1935223,0
43,3997265,298,PAYMENT,11338,0,0,0,0,0
44,5122276,356,CASH_OUT,41252,0,0,743132,784385,0
45,6004204,428,CASH_IN,427066,5463330,5890396,1081833,654767,0
46,2207826,186,CASH_OUT,420100,0,0,1955034,2375135,0
47,1389144,139,PAYMENT,264,0,0,0,0,0
48,1825030,163,CASH_IN,37431,9237818,9275249,1511628,1474197,0
49,2304681,188,CASH_OUT,190091,0,0,2257643,2447735,0
50,1008412,46,CASH_OUT,70460,178341,107881,1889941,1960401,0
51,1568475,155,CASH_OUT,400748,20032,0,0,400748,0
52,5633610,395,CASH_OUT,360127,0,0,391024,751152,0
53,2546891,206,PAYMENT,10455,133576,123120,0,0,0
54,5764966,400,TRANSFER,803655,8517,0,13037781,13841436,0
55,380116,17,PAYMENT,14194,0,0,0,0,0
56,4668555,331,CASH_OUT,104086,1346,0,9637191,9741277,0
57,5092931,355,TRANSFER,66330,0,0,389707,456037,0
58,924799,43,CASH_OUT,294518,0,0,1699074,1993593,0
59,3395386,255,CASH_OUT,83506,50916,0,2100259,2183766,0
60,3521938,259,CASH_IN,109059,18036,127095,1766606,1657546,0
61,2566216,206,PAYMENT,63,235,171,0,0,0
62,1048712,95,PAYMENT,8331,1049,0,0,0,0
63,5800901,401,CASH_OUT,110279,0,0,164201,274480,0
64,6118175,532,PAYMENT,2899,10034,7134,0,0,0
65,4054400,300,CASH_OUT,34934,32542,0,462139,497073,0
66,2590637,207,PAYMENT,10458,285304,274845,0,0,0
67,5263394,372,PAYMENT,6388,0,0,0,0,0
68,5482122,379,CASH_OUT,29212,50396,21183,660471,689684,0
69,1381460,138,PAYMENT,24720,164875,140154,0,0,0
70,932183,43,CASH_OUT,367342,1343,0,135590,502932,0
71,4718454,332,CASH_IN,112399,1880692,1993091,994031,881631,0
72,2002563,179,PAYMENT,22670,50994,28323,0,0,0
73,1759930,161,TRANSFER,592905,0,0,2017395,2610301,0
74,2723157,211,CASH_IN,165778,9454322,9620100,511779,346000,0
75,5526193,381,CASH_IN,209110,2251,211361,0,0,0
76,2501440,204,PAYMENT,19632,0,0,0,0,0
77,2814666,225,CASH_IN,81109,509368,590478,4011354,3930244,0
78,3569995,260,PAYMENT,254,532,277,0,0,0
79,5963181,406,TRANSFER,469322,105508,0,0,469322,0
80,989765,45,CASH_IN,162407,8198860,8361267,2106232,1943825,0
81,1731415,161,PAYMENT,19132,66594,47461,0,0,0
82,2886628,228,TRANSFER,1812623,997,0,1949568,3762192,0
83,5157425,357,PAYMENT,11184,53002,41817,0,0,0
84,4998878,353,CASH_OUT,77244,0,0,1008644,1085888,0
85,1928317,168,PAYMENT,12269,0,0,0,0,0
86,4786292,345,CASH_IN,151906,3290572,3442478,779371,627465,0
87,5692934,397,CASH_IN,95794,2901841,2997636,8051611,7955816,0
88,998136,45,CASH_OUT,106871,0,0,1948267,2055138,0
89,3415992,256,PAYMENT,2816,24657,21840,0,0,0
90,5734795,399,CASH_OUT,280925,0,0,2557314,2838240,0
91,6261346,610,PAYMENT,2897,0,0,0,0,0
92,6066867,514,TRANSFER,309216,0,0,1673358,1982574,0
93,2312552,188,PAYMENT,9005,60598,51592,0,0,0
94,4743038,332,PAYMENT,19396,107135,87739,0,0,0
95,67093,9,CASH_IN,237267,1205,238472,625620,621975,0
96,5205275,370,PAYMENT,13710,0,0,0,0,0
97,5404743,377,CASH_IN,486278,5016301,5502580,5933317,5447038,0
98,2086205,182,CASH_OUT,246995,0,0,301765,548760,0
99,278365,15,CASH_OUT,275084,0,0,317296,592380,0
100,2959485,230,TRANSFER,52947,0,0,3906473,3959420,0
101,1869223,164,PAYMENT,723,39273,38549,0,0,0
102,4124481,302,PAYMENT,40363,2891,0,0,0,0
103,462595,19,CASH_OUT,133856,596,0,21798,155654,0
104,3004287,232,CASH_OUT,287846,0,0,375567,663414,0
105,3829626,282,CASH_OUT,51206,0,0,976313,1027520,0
106,239863,14,TRANSFER,38967,142364,103396,645419,171055,0
107,4231561,306,PAYMENT,33430,31890,0,0,0,0
108,2836103,226,CASH_OUT,149916,0,0,896342,1046258,0
109,609917,34,PAYMENT,5311,0,0,0,0,0
110,1726648,160,PAYMENT,7866,0,0,0,0,0
111,5194778,369,CASH_OUT,403509,202,0,82330,485839,0
112,5980268,408,CASH_IN,59599,14122354,14181953,4153351,4093751,0
113,5753838,399,CASH_OUT,100294,81477,0,88824,189118,0
114,953167,44,PAYMENT,8848,176161,167312,0,0,0
115,6257600,599,PAYMENT,1106,1271,164,0,0,0
116,5015152,353,CASH_OUT,190959,681830,490870,0,190959,0
117,1294097,136,CASH_OUT,175806,0,0,1264511,1440318,0
118,5302932,373,PAYMENT,4678,4705,26,0,0,0
119,3261551,251,CASH_IN,46629,6515924,6562554,330351,283721,0
120,4227,3,CASH_OUT,119579,0,0,2485918,2182677,0
121,2279476,187,PAYMENT,472,0,0,0,0,0
122,3607609,264,PAYMENT,684,23503,22818,0,0,0
123,5971369,407,CASH_OUT,128814,0,0,278811,407626,0
124,2530812,205,CASH_OUT,609817,596,0,0,609817,0
125,5882157,403,PAYMENT,9350,50432,41081,0,0,0
126,1415649,139,CASH_OUT,119117,0,0,833764,952882,0
127,2885073,228,CASH_IN,275858,1141034,1416892,572533,296674,0
128,2958801,230,PAYMENT,20616,0,0,0,0,0
129,3231550,250,PAYMENT,10737,295890,285152,0,0,0
130,2752080,212,CASH_OUT,158862,154111,0,26706,185569,0
131,1029207,48,PAYMENT,8925,5909,0,0,0,0
132,1163878,132,PAYMENT,1451,0,0,0,0,0
133,2919996,229,CASH_IN,164472,3843514,4007986,679618,515146,0
134,6285710,659,CASH_OUT,140469,0,0,753970,894439,0
135,3767658,280,CASH_OUT,196251,47840,0,4943293,5139544,0
136,234205,14,CASH_OUT,348467,0,0,6112413,6817265,0
137,3950254,287,CASH_IN,100382,9995511,10095893,242337,141955,0
138,4908623,349,PAYMENT,21872,0,0,0,0,0
139,3980359,297,CASH_OUT,140899,1161,0,383609,524508,0
140,1090281,129,CASH_OUT,790507,123969,0,0,790507,0
141,1420523,139,CASH_OUT,10542,0,0,506973,517516,0
142,2640593,209,CASH_IN,77771,1982,79753,0,0,0
143,2704362,211,CASH_IN,191562,10539230,10730792,303833,112271,0
144,1642205,157,TRANSFER,242850,11907,0,738714,1055274,0
145,4717045,332,PAYMENT,6573,2851,0,0,0,0
146,3379558,254,TRANSFER,1107899,21202,0,0,1107899,0
147,3783108,280,PAYMENT,11006,778,0,0,0,0
148,5048251,354,CASH_OUT,143166,0,0,4655660,4798827,0
149,3269938,251,CASH_OUT,152660,30382,0,21022,173682,0
150,1896637,165,CASH_IN,260010,21682406,21942417,2506354,2246344,0
151,2889950,228,PAYMENT,73892,50702,0,0,0,0
152,4518916,325,PAYMENT,2236,0,0,0,0,0
153,1838562,163,PAYMENT,2880,290463,287582,0,0,0
154,4416664,322,PAYMENT,17810,0,0,0,0,0
155,5646421,396,PAYMENT,8206,299904,291698,0,0,0
156,1493674,142,PAYMENT,24963,53056,28092,0,0,0
157,3945778,286,PAYMENT,8497,11007,2509,0,0,0
158,4934497,350,PAYMENT,64987,0,0,0,0,0
159,2815721,225,PAYMENT,14242,97520,83277,0,0,0
160,4171218,304,CASH_OUT,529350,45659,0,216236,745587,0
161,2835897,226,CASH_OUT,114764,0,0,322621,437385,0
162,404080,18,PAYMENT,8881,203047,194165,0,0,0
163,617331,34,CASH_IN,171988,4486113,4658101,630864,458875,0
164,3587191,262,CASH_IN,284861,1567648,1852509,458648,173787,0
165,5869382,403,CASH_IN,9176,6196361,6205537,862976,853800,0
166,4427670,322,TRANSFER,15177003,0,0,31079897,46256901,0
167,621021,34,PAYMENT,23071,104758,81686,0,0,0
168,4001717,298,TRANSFER,2695745,0,0,7449736,10145482,0
169,1513240,153,CASH_IN,104076,4220019,4324096,636771,532694,0
170,1716721,160,PAYMENT,1786,456283,454496,0,0,0
171,4727647,332,CASH_IN,235834,36577,272411,158071,0,0
172,4269708,307,CASH_OUT,70201,21675,0,512091,582293,0
173,6234935,594,CASH_OUT,59631,58716,0,370341,429972,0
174,2712731,211,CASH_OUT,118325,0,0,1958293,2076618,0
175,3668055,276,CASH_IN,344020,131902,475922,2818322,2474301,0
176,1950773,178,CASH_IN,68501,228521,297022,192902,124401,0
177,3684919,276,CASH_OUT,131369,0,0,2508303,2639673,0
178,4040623,299,PAYMENT,31688,0,0,0,0,0
179,2247653,186,CASH_OUT,40813,51130,10316,0,40813,0
180,1672810,158,CASH_OUT,375503,0,0,13733215,14108718,0
181,2392745,201,CASH_OUT,105267,0,0,10716865,10822133,0
182,5750795,399,TRANSFER,545991,105233,0,885225,1431217,0
183,5520991,380,PAYMENT,11144,400805,389660,0,0,0
184,6065833,514,CASH_OUT,170987,15687,0,531158,702145,0
185,1071613,129,PAYMENT,37300,86116,48815,0,0,0
186,4675002,331,CASH_OUT,146508,0,0,362120,508628,0
187,4556867,327,CASH_IN,45218,6113030,6158249,255398,210179,0
188,2349096,189,CASH_OUT,172589,11690,0,83974,256563,0
189,4039798,299,CASH_OUT,92093,11218,0,280206,372300,0
190,4945187,351,CASH_IN,168012,5129014,5297026,290721,122708,0
191,2165881,184,PAYMENT,8700,224809,216109,0,0,0
192,2340698,189,PAYMENT,20970,0,0,0,0,0
193,5509498,380,PAYMENT,2322,147879,145557,0,0,0
194,2775740,214,TRANSFER,65673,44613,0,505880,571553,0
195,1357759,138,CASH_OUT,164491,15632,0,210454,374946,0
196,2344456,189,PAYMENT,3726,110035,106308,0,0,0
197,309486,16,CASH_OUT,237497,0,0,4557022,5445729,0
198,6128369,542,CASH_IN,500407,1811108,2311515,1713232,1212824,0
199,4930286,350,CASH_OUT,30937,11176,0,0,30937,0
200,1607552,156,PAYMENT,635,450482,449847,0,0,0
201,1241204,134,CASH_OUT,198968,97373,0,323160,522128,0
202,4646202,330,PAYMENT,28167,100680,72512,0,0,0
203,2301562,188,PAYMENT,713,0,0,0,0,0
204,374534,17,CASH_IN,394100,965,395065,763337,862575,0
205,6327853,688,CASH_OUT,451790,953757,501966,482,452273,0
206,1101194,130,PAYMENT,1199,0,0,0,0,0
207,1344168,137,CASH_IN,315110,59593,374703,121226,0,0
208,3383588,255,CASH_IN,6260,100687,106947,0,0,0
209,4214419,305,CASH_OUT,312872,69970,0,0,312872,0
210,303799,15,CASH_IN,66005,800187,866193,2656121,2590115,0
211,4994345,352,CASH_IN,103635,9977,113612,190603,86967,0
212,2570620,207,TRANSFER,464496,0,0,613625,1078122,0
213,2267040,187,CASH_IN,52846,73,52919,3910654,3857808,0
214,2296043,187,CASH_OUT,146159,0,0,276562,422721,0
215,3921950,285,CASH_IN,113455,99770,213225,1916472,1803017,0
216,78753,10,PAYMENT,13278,220239,206961,0,0,0
217,3830932,282,CASH_OUT,175704,143421,0,182743,358448,0
218,3094419,235,CASH_IN,145328,6291,151619,2335315,2189986,0
219,2887562,228,CASH_IN,182270,782327,964598,475227,292957,0
220,4713922,332,CASH_OUT,226957,0,0,1799773,2026731,0
221,3427882,256,PAYMENT,15311,99421,84109,0,0,0
222,5837804,402,CASH_IN,196164,4731035,4927200,1285211,1089046,0
223,3506075,259,CASH_IN,182372,0,182372,1156913,974541,0
224,446107,19,CASH_IN,470272,4960396,5430669,721274,251001,0
225,461203,19,PAYMENT,1834,0,0,0,0,0
226,6336122,691,CASH_IN,148062,364562,512624,0,0,0
227,853204,41,CASH_OUT,328973,0,0,1830962,2159935,0
228,4850574,347,TRANSFER,1411256,9528,0,46837,1458094,0
229,4304142,307,CASH_OUT,149676,0,0,175402,325078,0
230,5887080,403,CASH_OUT,41304,52671,11366,316742,358046,0
231,1922572,167,PAYMENT,7160,55855,48694,0,0,0
232,1940902,177,TRANSFER,164411,0,0,4709456,4873868,0
233,3485988,258,PAYMENT,9564,1007,0,0,0,0
234,315058,16,CASH_IN,188891,8838,197729,3962484,3968926,0
235,107376,10,PAYMENT,34208,20619,0,0,0,0
236,649600,35,PAYMENT,28504,81816,53312,0,0,0
237,5965668,406,CASH_OUT,110090,1115,0,3840130,3950220,0
238,4160180,304,CASH_IN,132970,101840,234810,8107855,7974884,0
239,3668613,276,CASH_IN,217524,8982990,9200514,255644,38120,0
240,3783197,280,CASH_IN,29783,5257163,5286947,69040,39256,0
241,4671663,331,CASH_OUT,221202,0,0,248805,470008,0
242,41537,9,CASH_OUT,367341,0,0,1433271,1617976,0
243,3797535,281,CASH_OUT,100277,0,0,217598,317876,0
244,4530581,326,CASH_OUT,79025,0,0,397306,476332,0
245,6045522,492,CASH_IN,97486,2448412,2545898,430856,333370,0
246,2344200,189,PAYMENT,8871,30973,22101,0,0,0
247,1706381,160,CASH_IN,157344,2998396,3155740,4549528,4392183,0
248,3306717,252,CASH_OUT,156635,10804,0,0,156635,0
249,2538548,205,CASH_OUT,220597,0,0,228154,448751,0
250,453271,19,PAYMENT,2187,699750,697562,0,0,0
251,5665727,396,CASH_OUT,170454,0,0,176274,346729,0
252,2463163,203,PAYMENT,5845,42986,37140,0,0,0
253,5679834,397,PAYMENT,3711,51198,47486,0,0,0
254,489353,19,CASH_IN,141017,15673,156690,1306348,1261657,0
255,813679,40,CASH_OUT,99757,226,0,380269,480027,0
256,3832746,282,TRANSFER,3779895,0,0,3991331,7771226,0
257,6177566,565,CASH_OUT,33666,0,0,4239306,4272972,0
258,3791275,280,CASH_OUT,201455,0,0,7473041,7674496,0
259,4841284,347,PAYMENT,1149,95676,94526,0,0,0
260,3780835,280,CASH_OUT,134663,0,0,234012,368676,0
261,34221,8,PAYMENT,4048,468727,464678,0,0,0
262,5586323,394,CASH_IN,144122,2510241,2654363,310922,166800,0
263,6230497,592,CASH_OUT,138339,79612,0,0,138339,0
264,502757,20,CASH_OUT,285216,0,0,815192,1145236,0
265,897316,42,PAYMENT,4657,0,0,0,0,0
266,5447444,379,CASH_IN,137793,4999655,5137448,283763,145969,0
267,1693485,159,CASH_OUT,38992,0,0,673690,712682,0
268,3121437,236,CASH_OUT,66135,10319,0,0,66135,0
269,6204414,585,CASH_OUT,382473,20075,0,64676,447150,0
270,2058286,181,PAYMENT,11924,34252,22327,0,0,0
271,624988,34,CASH_OUT,352782,0,0,392097,744880,0
272,3856875,283,PAYMENT,4539,265491,260952,0,0,0
273,4825563,346,DEBIT,3203,32684,29480,220610,223813,0
274,4712274,332,CASH_OUT,225175,0,0,1486043,1711218,0
275,421022,18,PAYMENT,9401,30648,21246,0,0,0
276,2753869,212,CASH_IN,78480,7730944,7809424,296841,218361,0
277,3529931,259,PAYMENT,1960,73350,71390,0,0,0
278,3146060,236,PAYMENT,9323,0,0,0,0,0
279,4396995,321,CASH_OUT,410132,1480,0,11704,421837,0
280,6282725,656,CASH_IN,261513,3813550,4075063,1673961,1412447,0
281,4587194,328,TRANSFER,104437,0,0,1223425,1327862,0
282,216674,13,PAYMENT,12395,0,0,0,0,0
283,5022565,353,PAYMENT,23922,132,0,0,0,0
284,5047868,354,CASH_OUT,106526,2033,0,2104433,2210959,0
285,1965200,178,PAYMENT,27850,173684,145833,0,0,0
286,6152095,546,TRANSFER,577979,0,0,19157374,19735353,0
287,5558557,384,CASH_IN,70803,2298615,2369418,1339912,1269109,0
288,1495797,142,PAYMENT,25693,827,0,0,0,0
289,3842654,282,TRANSFER,244404,0,0,252377,639830,0
290,4804540,346,TRANSFER,168133,0,0,978054,1146188,0
291,4430672,322,CASH_OUT,430550,79757,0,0,430550,0
292,723570,37,CASH_OUT,94172,0,0,181753,275926,0
293,3119253,236,CASH_OUT,220125,0,0,1386369,1606494,0
294,574451,25,PAYMENT,7320,32628,25307,0,0,0
295,2388905,201,CASH_OUT,154850,1075,0,0,154850,0
296,2138633,184,CASH_IN,163899,68,163967,1404235,1240336,0
297,4980873,352,CASH_OUT,245000,32538,0,274387,519387,0
298,2921153,229,CASH_IN,365331,148423,513754,163206,0,0
299,5770597,400,PAYMENT,12615,40800,28184,0,0,0
300,21976,8,CASH_IN,109268,3482396,3591665,1108109,3529395,0
301,4637232,330,PAYMENT,10547,95560,85012,0,0,0
302,484730,19,PAYMENT,22750,88456,65706,0,0,0
303,4898891,349,CASH_OUT,36160,0,0,89002,125163,0
304,2590988,207,CASH_IN,302558,107861,410419,0,0,0
305,6275574,637,TRANSFER,865120,0,0,2212969,3078089,0
306,43794,9,CASH_OUT,383590,2169027,1785437,1031449,1680061,0
307,5288214,373,CASH_IN,552598,90875,643473,8701877,8149278,0
308,4981320,352,CASH_IN,65614,3401146,3466761,112099,46485,0
309,1644467,157,CASH_IN,23824,457864,481688,4096014,4072190,0
310,4676197,331,PAYMENT,8545,15263,6717,0,0,0
311,4284945,307,PAYMENT,38594,585,0,0,0,0
312,2216735,186,CASH_IN,234159,727504,961663,2079450,1845291,0
313,4901692,349,TRANSFER,141435,0,0,45356017,45497453,0
314,104681,10,PAYMENT,27037,0,0,0,0,0
315,5678603,397,CASH_OUT,426672,0,0,1730808,2157481,0
316,4004538,298,CASH_IN,10834,1150898,1161733,2222539,2211704,0
317,3500040,259,PAYMENT,1462,0,0,0,0,0
318,5758206,400,PAYMENT,20402,0,0,0,0,0
319,6264574,612,DEBIT,963,9128,8164,477148,478111,0
320,3020218,233,CASH_OUT,54650,0,0,123743,178394,0
321,2151766,184,PAYMENT,36267,20744,0,0,0,0
322,79186,10,CASH_OUT,179772,152741,0,4177499,5704443,0
323,550228,21,TRANSFER,2082592,0,0,2450830,4533422,0
324,6181909,566,CASH_IN,235461,0,235461,1299188,1063727,0
325,4217634,305,CASH_OUT,54905,148,0,0,54905,0
326,5338087,374,PAYMENT,4926,5000,73,0,0,0
327,1543651,154,CASH_OUT,348791,15905,0,31607,380398,0
328,5580587,393,TRANSFER,1658427,0,0,8687080,10345507,0
329,2278528,187,CASH_OUT,56452,0,0,1058817,1115270,0
330,1769237,162,CASH_IN,33435,28487,61922,946769,913333,0
331,4104655,302,PAYMENT,803,16210,15407,0,0,0
332,4741863,332,PAYMENT,10000,0,0,0,0,0
333,4896855,349,PAYMENT,18857,68812,49954,0,0,0
334,356778,17,CASH_IN,41292,4291112,4332405,1419532,1220705,0
335,4630436,329,CASH_OUT,263160,0,0,4328524,4591685,0
336,73816,10,TRANSFER,845503,157986,0,1193899,1995749,0
337,5274133,372,CASH_OUT,264869,0,0,1651450,1916319,0
338,1583266,155,PAYMENT,3330,45300,41969,0,0,0
339,1377672,138,TRANSFER,167115,0,0,1129080,1296195,0
340,2353325,189,PAYMENT,10026,6217,0,0,0,0
341,3016468,232,CASH_OUT,331713,0,0,1439027,1770740,0
342,4255378,306,CASH_OUT,126305,221161,94855,24372,150678,0
343,5993811,420,CASH_IN,236446,5328536,5564982,511742,275296,0
344,3130991,236,PAYMENT,36738,0,0,0,0,0
345,770501,39,TRANSFER,430382,0,0,4258531,4688913,0
346,3172961,238,TRANSFER,245689,0,0,571700,817389,0
347,2824456,226,PAYMENT,14134,341246,327112,0,0,0
348,3380056,254,CASH_OUT,301315,208160,0,47849,349165,0
349,5951883,405,CASH_OUT,10451,0,0,63572,74023,0
350,1291560,135,CASH_OUT,220786,262,0,0,220786,0
351,1458108,140,PAYMENT,3830,0,0,0,0,0
352,749034,38,CASH_OUT,187669,23372,0,193040,154607,0
353,3577964,261,CASH_OUT,99085,24335,0,120231,219317,0
354,2622705,208,CASH_OUT,60660,0,0,89048,149708,0
355,4559144,327,CASH_OUT,196886,0,0,309920,506807,0
356,293088,15,CASH_OUT,371295,103460,0,1839106,2210401,0
357,190678,13,PAYMENT,14836,194487,179651,0,0,0
358,3332017,253,CASH_OUT,255065,174,0,0,255065,0
359,1105441,130,PAYMENT,1650,0,0,0,0,0
360,2518262,205,PAYMENT,8280,0,0,0,0,0
361,1713757,160,CASH_OUT,158697,0,0,298357,457055,0
362,3258725,251,PAYMENT,7950,0,0,0,0,0
363,3630243,274,PAYMENT,7743,44700,36957,0,0,0
364,3789322,280,CASH_IN,314380,31420,345800,154430,0,0
365,3040591,234,CASH_OUT,28194,0,0,392155,420350,0
366,1746003,161,CASH_OUT,152383,0,0,401524,553907,0
367,121884,11,CASH_OUT,355720,418230,62509,7314,363034,0
368,6164268,550,PAYMENT,5526,52578,47051,0,0,0
369,352642,17,TRANSFER,915505,743177,0,2291486,3206991,0
370,2135322,184,TRANSFER,453539,0,0,816414,1269954,0
371,144863,11,CASH_OUT,359271,6096,0,176662,535933,0
372,657765,35,CASH_OUT,327163,78865,0,1063041,1451983,0
373,5026173,353,CASH_IN,127005,1250254,1377260,2444384,2317379,0
374,1435157,140,CASH_OUT,224312,50159,0,6225626,6449939,0
375,210723,13,CASH_OUT,374893,0,0,8577855,8952748,0
376,5525584,381,CASH_OUT,287803,3089,0,0,287803,0
377,4565729,327,CASH_OUT,160929,0,0,4036029,4196959,0
378,1292956,136,CASH_IN,259118,11222,270340,0,0,0
379,4054639,300,CASH_IN,8653,478676,487329,1374231,1365578,0
380,3700261,277,PAYMENT,7344,5451,0,0,0,0
381,4655409,330,PAYMENT,41492,365193,323700,0,0,0
382,1745026,161,TRANSFER,2532199,0,0,4067969,6600168,0
383,2277051,187,CASH_IN,70634,5387506,5458140,571810,501175,0
384,2160752,184,CASH_IN,109533,386,109919,101348,0,0
385,6265988,614,PAYMENT,681,233437,232756,0,0,0
386,943781,43,TRANSFER,223927,10184,0,165325,389253,0
387,3202076,249,CASH_IN,113982,9684180,9798162,741805,627823,0
388,5987258,408,CASH_OUT,74950,9449,0,3747146,3822096,0
389,1830429,163,PAYMENT,3857,0,0,0,0,0
390,236303,14,CASH_OUT,103128,10883,0,978432,1081561,0
391,443395,19,CASH_OUT,34097,0,0,903350,1069520,0
392,5242137,371,CASH_IN,389052,42060,431112,0,0,0
393,5148584,357,CASH_OUT,87051,0,0,2374649,2461700,0
394,568147,23,PAYMENT,6996,211,0,0,0,0
395,3938755,286,PAYMENT,16324,0,0,0,0,0
396,2322687,188,CASH_IN,248818,104932,353750,0,0,0
397,4406949,322,PAYMENT,13889,16161,2271,0,0,0
398,1169939,132,TRANSFER,749511,22421,0,3097055,3846566,0
399,3578113,261,PAYMENT,2638,14141,11502,0,0,0
400,4315304,308,CASH_IN,214379,2062245,2276624,1086910,872530,0
401,4080874,301,PAYMENT,9983,0,0,0,0,0
402,1481866,141,PAYMENT,15885,0,0,0,0,0
403,3519483,259,CASH_OUT,96840,24951,0,254296,351137,0
404,5067366,354,TRANSFER,1066542,492,0,772357,1838899,0
405,3903313,284,PAYMENT,28309,15425,0,0,0,0
406,4638803,330,PAYMENT,4437,0,0,0,0,0
407,1254863,134,CASH_OUT,246989,0,0,2559514,2806504,0
408,719987,37,CASH_IN,58557,1285576,1344134,72946,14389,0
409,5960167,406,CASH_IN,209254,2943,212197,544436,335181,0
410,4789485,345,CASH_OUT,50533,0,0,259984,310518,0
411,1859002,164,CASH_IN,38804,3334712,3373516,76538,37733,0
412,3385610,255,CASH_OUT,149466,0,0,1086377,1235843,0
413,231793,14,CASH_IN,213558,650703,864261,351789,196352,0
414,1894998,165,CASH_IN,1484,77,1561,2194677,2193193,0
415,4035376,299,CASH_IN,455144,26504,481649,1198814,743669,0
416,579532,33,CASH_IN,530808,747,531555,270071,0,0
417,5449368,379,PAYMENT,26501,0,0,0,0,0
418,2779750,214,PAYMENT,12773,0,0,0,0,0
419,4162018,304,CASH_OUT,232920,0,0,10656544,10889464,0
420,1344833,137,PAYMENT,63441,681,0,0,0,0
421,3975504,297,CASH_OUT,181476,0,0,266545,448022,0
422,4329478,308,PAYMENT,2936,21867,18930,0,0,0
423,543748,21,CASH_IN,173991,130508,304499,477418,303426,0
424,2521329,205,CASH_OUT,115152,163,0,0,115152,0
425,3710523,277,PAYMENT,17006,101507,84500,0,0,0
426,1344128,137,CASH_OUT,289230,0,0,666389,955620,0
427,2995322,232,PAYMENT,26050,0,0,0,0,0
428,1123646,130,CASH_OUT,44808,4869,0,0,44808,0
429,5068236,354,CASH_OUT,127614,10859,0,69383,196997,0
430,4592291,328,PAYMENT,19083,30115,11031,0,0,0
431,2197116,185,TRANSFER,521925,0,0,677424,1079083,0
432,1788060,162,CASH_IN,29085,124745,153830,0,0,0
433,4086334,301,CASH_IN,451955,14423,466378,62094,0,0
434,3784651,280,PAYMENT,2235,124956,122720,0,0,0
435,2011493,180,PAYMENT,19614,14491,0,0,0,0
436,911009,43,TRANSFER,158891,42077,0,301642,460534,0
437,674936,36,PAYMENT,24272,6937,0,0,0,0
438,2134209,183,PAYMENT,12066,0,0,0,0,0
439,4271155,307,CASH_OUT,245876,748597,502721,868438,1114314,0
440,5262313,372,CASH_OUT,70574,0,0,105096,175670,0
441,3219459,250,PAYMENT,53805,0,0,0,0,0
442,5850757,402,CASH_IN,21803,545967,567771,428029,406225,0
